sell_n,tokens_sold,seller_receives_sol,nav_sol,redeem_price_sol,price_frozen_sol,pool_sol
119,58253.60299,0.940000001,1.716853862e-05,1.61384263e-05,1.811530683e-05,386.95
120,58246.07571,0.940000001,1.717076281e-05,1.614051704e-05,1.811530683e-05,386
121,58238.53088,0.940000001,1.717299278e-05,1.614261321e-05,1.811530683e-05,385.05
122,58230.96842,0.940000001,1.717522855e-05,1.614471484e-05,1.811530683e-05,384.1
123,58223.38823,0.940000001,1.717747016e-05,1.614682195e-05,1.811530683e-05,383.15
124,58215.79025,0.94,1.717971764e-05,1.614893458e-05,1.811530683e-05,382.2
125,58208.17437,0.940000001,1.718197101e-05,1.615105275e-05,1.811530683e-05,381.25
126,58200.54051,0.940000001,1.718423031e-05,1.615317649e-05,1.811530683e-05,380.3
127,58192.88858,0.940000001,1.718649557e-05,1.615530584e-05,1.811530683e-05,379.35
128,58185.2185,0.940000001,1.718876681e-05,1.61574408e-05,1.811530683e-05,378.4
129,58177.53018,0.940000001,1.719104407e-05,1.615958143e-05,1.811530683e-05,377.45
130,58169.82353,0.940000001,1.719332738e-05,1.616172774e-05,1.811530683e-05,376.5
131,58162.09845,0.940000001,1.719561678e-05,1.616387977e-05,1.811530683e-05,375.55
132,58154.35486,0.940000001,1.719791228e-05,1.616603754e-05,1.811530683e-05,374.6
133,58146.59267,0.940000001,1.720021393e-05,1.616820109e-05,1.811530683e-05,373.65
134,58138.81178,0.940000001,1.720252175e-05,1.617037045e-05,1.811530683e-05,372.7
135,58131.0121,0.940000001,1.720483578e-05,1.617254564e-05,1.811530683e-05,371.75
136,58123.19354,0.940000001,1.720715606e-05,1.617472669e-05,1.811530683e-05,370.8
137,58115.356,0.940000001,1.720948261e-05,1.617691365e-05,1.811530683e-05,369.85
138,58107.49938,0.940000001,1.721181546e-05,1.617910654e-05,1.811530683e-05,368.9
139,58099.62361,0.940000001,1.721415466e-05,1.618130538e-05,1.811530683e-05,367.95
140,58091.72856,0.940000001,1.721650023e-05,1.618351022e-05,1.811530683e-05,367
141,58083.81416,0.940000001,1.721885221e-05,1.618572108e-05,1.811530683e-05,366.05
142,58075.88029,0.940000001,1.722121064e-05,1.6187938e-05,1.811530683e-05,365.1
143,58067.92687,0.940000001,1.722357554e-05,1.619016101e-05,1.811530683e-05,364.15
144,58059.95379,0.940000001,1.722594695e-05,1.619239014e-05,1.811530683e-05,363.2
145,58051.96096,0.940000001,1.722832491e-05,1.619462542e-05,1.811530683e-05,362.25
146,58043.94827,0.940000001,1.723070946e-05,1.619686689e-05,1.811530683e-05,361.3
147,58035.91561,0.940000001,1.723310062e-05,1.619911458e-05,1.811530683e-05,360.35
148,58027.8629,0.940000001,1.723549843e-05,1.620136853e-05,1.811530683e-05,359.4
